round,giver,receiver,tokens,
6,Jeremiah,David,7,
6,Jeremiah,Adam,0,
6,Jeremiah,Samuel,0,
6,Jeremiah,Aaron,6,
6,Jeremiah,Joseph,3,
6,Jeremiah,Melchizedek,0,
6,David,Jeremiah,8,
6,David,Sharon,0,
6,David,David,0,
6,David,Adam,2,
6,David,Samuel,0,
6,David,Aaron,4,
6,David,Joseph,0,
6,David,Melchizedek,2,
6,Aaron,Jeremiah,3,
6,Aaron,Sharon,8,
6,Aaron,David,0,
6,Aaron,Adam,0,
6,Aaron,Samuel,0,
6,Aaron,Aaron,0,
6,Aaron,Joseph,5,
6,Aaron,Melchizedek,0,
6,Joseph,Jeremiah,3,
6,Joseph,Sharon,8,
6,Joseph,David,0,
6,Joseph,Adam,0,
6,Joseph,Samuel,0,
6,Joseph,Aaron,5,
6,Joseph,Joseph,0,
6,Joseph,Melchizedek,0,
7,Adam,Jeremiah,0,
7,Adam,Sharon,0,
7,Adam,David,0,
7,Adam,Adam,0,
7,Adam,Samuel,8,
7,Adam,Aaron,0,
7,Adam,Joseph,0,
7,Adam,Melchizedek,8,
7,Samuel,Jeremiah,0,
7,Samuel,Sharon,0,
7,Samuel,David,0,
7,Samuel,Adam,8,
7,Samuel,Samuel,0,
7,Samuel,Aaron,0,
7,Samuel,Joseph,0,
7,Samuel,Melchizedek,8,
7,David,Jeremiah,9,
7,David,Sharon,0,
7,David,David,0,
7,David,Adam,0,
7,David,Samuel,0,
7,David,Aaron,7,
7,David,Joseph,0,
7,David,Melchizedek,0,
7,Sharon,Jeremiah,0,
7,Sharon,Sharon,0,
7,Sharon,David,0,
7,Sharon,Adam,0,
7,Sharon,Samuel,0,
7,Sharon,Aaron,8,
7,Sharon,Joseph,8,
7,Sharon,Melchizedek,0,
7,Jeremiah,Jeremiah,0,
7,Jeremiah,Sharon,0,
7,Jeremiah,David,8,
7,Jeremiah,Adam,0,
7,Jeremiah,Samuel,0,
7,Jeremiah,Aaron,4,
7,Jeremiah,Joseph,4,
7,Jeremiah,Melchizedek,0,
7,Joseph,Jeremiah,3,
7,Joseph,Sharon,8,
7,Joseph,David,0,
7,Joseph,Adam,0,
7,Joseph,Samuel,0,
7,Joseph,Aaron,5,
7,Joseph,Joseph,0,
7,Joseph,Melchizedek,0,
7,Melchizedek,Jeremiah,0,
7,Melchizedek,Sharon,0,
7,Melchizedek,David,0,
7,Melchizedek,Adam,8,
7,Melchizedek,Samuel,8,
7,Melchizedek,Aaron,0,
7,Melchizedek,Joseph,0,
7,Melchizedek,Melchizedek,0,
7,Aaron,Jeremiah,3,
7,Aaron,Sharon,8,
7,Aaron,David,0,
7,Aaron,Adam,0,
7,Aaron,Samuel,0,
7,Aaron,Aaron,0,
7,Aaron,Joseph,5,
7,Aaron,Melchizedek,0,
8,Samuel,Jeremiah,0,
8,Samuel,Sharon,0,
8,Samuel,David,0,
8,Samuel,Adam,8,
8,Samuel,Samuel,0,
8,Samuel,Aaron,0,
8,Samuel,Joseph,0,
8,Samuel,Melchizedek,8,
8,Sharon,Jeremiah,0,
8,Sharon,Sharon,0,
8,Sharon,David,0,
8,Sharon,Adam,0,
8,Sharon,Samuel,0,
8,Sharon,Aaron,8,
8,Sharon,Joseph,8,
8,Sharon,Melchizedek,0,
8,Jeremiah,Jeremiah,0,
8,Jeremiah,Sharon,0,
8,Jeremiah,David,9,
8,Jeremiah,Adam,0,
8,Jeremiah,Samuel,0,
8,Jeremiah,Aaron,4,
8,Jeremiah,Joseph,3,
8,Jeremiah,Melchizedek,0,
8,David,Jeremiah,8,
8,David,Sharon,0,
8,David,David,2,
8,David,Adam,3,
8,David,Samuel,0,
8,David,Aaron,0,
8,David,Joseph,0,
8,David,Melchizedek,3,
8,Adam,Jeremiah,0,
8,Adam,Sharon,0,
8,Adam,David,0,
8,Adam,Adam,0,
8,Adam,Samuel,8,
8,Adam,Aaron,0,
8,Adam,Joseph,0,
8,Adam,Melchizedek,8,
8,Melchizedek,Jeremiah,0,
8,Melchizedek,Sharon,0,
8,Melchizedek,David,0,
8,Melchizedek,Adam,8,
8,Melchizedek,Samuel,8,
8,Melchizedek,Aaron,0,
8,Melchizedek,Joseph,0,
8,Melchizedek,Melchizedek,0,
8,Adam,Jeremiah,0,
8,Adam,Sharon,0,
8,Adam,David,0,
8,Adam,Adam,16,
8,Adam,Samuel,0,
8,Adam,Aaron,0,
8,Adam,Joseph,0,
8,Adam,Melchizedek,0,
8,Aaron,Jeremiah,0,
8,Aaron,Sharon,0,
8,Aaron,David,0,
8,Aaron,Adam,0,
8,Aaron,Samuel,0,
8,Aaron,Aaron,16,
8,Aaron,Joseph,0,
8,Aaron,Melchizedek,0,
8,Joseph,Jeremiah,0,
8,Joseph,Sharon,0,
8,Joseph,David,0,
8,Joseph,Adam,0,
8,Joseph,Samuel,0,
8,Joseph,Aaron,0,
8,Joseph,Joseph,16,
8,Joseph,Melchizedek,0,
8,Melchizedek,Jeremiah,0,
8,Melchizedek,Sharon,0,
8,Melchizedek,David,0,
8,Melchizedek,Adam,0,
8,Melchizedek,Samuel,0,
8,Melchizedek,Aaron,0,
8,Melchizedek,Joseph,0,
8,Melchizedek,Melchizedek,16,
8,Joseph,Jeremiah,3,
8,Joseph,Sharon,8,
8,Joseph,David,0,
8,Joseph,Adam,0,
8,Joseph,Samuel,0,
8,Joseph,Aaron,5,
8,Joseph,Joseph,0,
8,Joseph,Melchizedek,0,
8,Aaron,Jeremiah,3,
8,Aaron,Sharon,8,
8,Aaron,David,0,
8,Aaron,Adam,0,
8,Aaron,Samuel,0,
8,Aaron,Aaron,0,
8,Aaron,Joseph,5,
8,Aaron,Melchizedek,0,
9,Jeremiah,Jeremiah,0,
9,Jeremiah,Sharon,0,
9,Jeremiah,David,8,
9,Jeremiah,Adam,0,
9,Jeremiah,Samuel,0,
9,Jeremiah,Aaron,5,
9,Jeremiah,Joseph,3,
9,Jeremiah,Melchizedek,0,
9,David,Jeremiah,8,
9,David,Sharon,0,
9,David,David,0,
9,David,Adam,0,
9,David,Samuel,4,
9,David,Aaron,0,
9,David,Joseph,0,
9,David,Melchizedek,4,
9,Samuel,Jeremiah,0,
9,Samuel,Sharon,0,
9,Samuel,David,0,
9,Samuel,Adam,8,
9,Samuel,Samuel,0,
9,Samuel,Aaron,0,
9,Samuel,Joseph,0,
9,Samuel,Melchizedek,8,
9,Melchizedek,Jeremiah,0,
9,Melchizedek,Sharon,0,
9,Melchizedek,David,0,
9,Melchizedek,Adam,8,
9,Melchizedek,Samuel,8,
9,Melchizedek,Aaron,0,
9,Melchizedek,Joseph,0,
9,Melchizedek,Melchizedek,0,
9,Sharon,Jeremiah,0,
9,Sharon,Sharon,0,
9,Sharon,David,0,
9,Sharon,Adam,0,
9,Sharon,Samuel,0,
9,Sharon,Aaron,8,
9,Sharon,Joseph,8,
9,Sharon,Melchizedek,0,
9,Joseph,Jeremiah,3,
9,Joseph,Sharon,8,
9,Joseph,David,0,
9,Joseph,Adam,0,
9,Joseph,Samuel,0,
9,Joseph,Aaron,5,
9,Joseph,Joseph,0,
